symbol,date,open,high,low,close,volume,change,changePercent,vwap
AAPL,2025-03-31,217.01,225.62,216.23,222.13,65299321,5.13,2.36,220.2475
AAPL,2025-03-28,221.67,223.81,217.68,217.9,39818617,-3.77,-1.7,220.265
AAPL,2025-03-27,221.39,224.99,220.56,223.85,37094800,2.46,1.11,222.6975
AAPL,2025-03-26,223.51,225.02,220.47,221.53,34532656,-1.98,-0.88587,222.6325
AAPL,2025-03-25,220.77,224.1,220.08,223.75,34493600,2.98,1.35,222.175
AAPL,2025-03-24,221.0,221.48,218.58,220.73,44299500,-0.27,-0.12217,220.4475
AAPL,2025-03-21,211.56,218.84,211.28,218.27,94127800,6.71,3.17,214.9875
AAPL,2025-03-20,213.99,217.49,212.22,214.1,48862947,0.11,0.05140427,214.45
AAPL,2025-03-19,214.22,218.76,213.75,215.24,54385400,1.02,0.47615,215.4925
AAPL,2025-03-18,214.16,215.15,211.49,212.69,42432426,-1.47,-0.6864,213.3725
AAPL,2025-03-17,213.31,215.22,209.97,214.0,48073426,0.69,0.32347,213.125
AAPL,2025-03-14,211.25,213.95,209.58,213.49,60107600,2.24,1.06,212.0675
AAPL,2025-03-13,215.95,216.84,208.42,209.68,61368330,-6.27,-2.9,212.7225
AAPL,2025-03-12,220.14,221.75,214.91,216.98,62547500,-3.16,-1.44,218.445
AAPL,2025-03-11,223.81,225.84,217.45,220.84,76137410,-2.97,-1.33,221.985
AAPL,2025-03-10,235.54,236.16,224.22,227.48,72071200,-8.06,-3.42,230.85
AAPL,2025-03-07,235.11,241.37,234.76,239.07,46273600,3.97,1.68,237.5775
AAPL,2025-03-06,234.44,237.86,233.16,235.33,45170419,0.895,0.37963,235.1975
AAPL,2025-03-05,235.42,236.55,229.23,235.74,47227643,0.32,0.13593,234.235
AAPL,2025-03-04,237.71,240.07,234.68,235.93,53798100,-1.78,-0.74881,237.0975
AAPL,2025-03-03,241.79,244.03,236.11,238.03,47184000,-3.76,-1.56,239.99
AAPL,2025-02-28,236.95,242.09,230.2,241.84,56833400,4.89,2.06,237.77
AAPL,2025-02-27,239.41,242.46,237.06,237.3,41153639,-2.11,-0.88133,239.0575
AAPL,2025-02-26,244.33,244.98,239.13,240.36,44433600,-3.97,-1.62,242.2
AAPL,2025-02-25,248.0,250.0,244.91,247.04,48013300,-0.96,-0.3871,247.4875
AAPL,2025-02-24,244.93,248.86,244.42,247.1,51326400,2.17,0.88597,246.3275
AAPL,2025-02-21,245.95,248.69,245.22,245.55,53197431,-0.4,-0.16263,246.3525
AAPL,2025-02-20,244.94,246.78,244.29,245.83,32316907,0.89,0.36335,245.46
AAPL,2025-02-19,244.66,246.01,243.16,244.87,32204215,0.21,0.0858334,244.675
AAPL,2025-02-18,244.15,245.18,241.84,244.47,48822500,0.32,0.13107,243.91
AAPL,2025-02-14,241.25,245.55,240.99,244.6,40896227,3.35,1.39,243.0975
AAPL,2025-02-13,236.91,242.34,235.57,241.53,53614100,4.62,1.95,239.0875
AAPL,2025-02-12,231.2,236.96,230.68,236.87,45243300,5.67,2.45,233.9275
AAPL,2025-02-11,228.2,235.23,228.13,232.62,53718400,4.42,1.94,231.045
AAPL,2025-02-10,229.57,230.59,227.2,227.65,33115645,-1.92,-0.83635,228.7525
AAPL,2025-02-07,232.6,234.0,227.26,227.63,39707224,-4.97,-2.14,230.3725
AAPL,2025-02-06,231.29,233.8,230.43,233.22,29925349,1.94,0.83445,232.185
AAPL,2025-02-05,228.53,232.67,228.27,232.47,39664989,3.94,1.72,230.485
AAPL,2025-02-04,227.25,233.13,226.65,232.8,45067301,5.55,2.44,229.9575
AAPL,2025-02-03,229.99,231.83,225.7,228.01,73063301,-1.98,-0.86091,228.8825
AAPL,2025-01-31,247.19,247.19,233.44,236.0,101075128,-11.19,-4.53,240.955
AAPL,2025-01-30,238.67,240.79,237.21,237.59,55658300,-1.07,-0.45251,238.565
AAPL,2025-01-29,234.12,239.86,234.01,239.36,45486100,5.24,2.24,236.8375
AAPL,2025-01-28,230.85,240.19,230.81,238.26,75707600,7.41,3.21,235.0275
AAPL,2025-01-27,224.02,232.15,223.98,229.86,94863418,5.84,2.61,227.5025
AAPL,2025-01-24,224.78,225.63,221.41,222.78,54697907,-2.0,-0.88976,223.65
AAPL,2025-01-23,224.74,227.03,222.3,223.66,60234800,-1.08,-0.48056,224.4325
AAPL,2025-01-22,219.79,224.12,219.79,223.83,64126500,4.04,1.84,221.8825
AAPL,2025-01-21,224.0,224.42,219.38,222.64,98070429,-1.36,-0.60714,222.61
AAPL,2025-01-17,232.12,232.29,228.48,229.98,68488301,-2.14,-0.92194,230.7175
AAPL,2025-01-16,237.35,238.01,228.03,228.26,71759100,-9.09,-3.83,232.9125
AAPL,2025-01-15,234.64,238.96,234.43,237.87,39832000,3.24,1.38,236.475
AAPL,2025-01-14,234.75,236.12,232.47,233.28,39435300,-1.47,-0.6262,234.155
